trip_id,transport_mode,mode_type,distance_km,trip_duration_minutes,average_speed_kmph,estimated_cost_inr,city,day_of_week,season,seasonal_factor,ef_baseline,ef_actual,emission_difference,time_period,peak_factor,traffic_condition,traffic_multiplier,recency_weight,time_weight,weather_condition,weather_factor,route_type,route_factor,load_factor,aqi_level,aqi_factor,context_factor,carbon_credits_earned,user_age,user_income_bracket,trip_purpose,timestamp
T001,petrol_car,private,19.35,22.1,52.5,116.1,Hyderabad,Monday,Post-Monsoon,1,0.13,0.13,0,late_night,0.8,moderate,1.1,1,0.88,light_rain,1.1,highway,0.9,0.95,very_poor,1.1,1.035,0,53,low,business,28-04-2025 19:06
T002,petrol_car,private,15.91,39.8,24,95.46,Pune,Sunday,Summer,1.1,0.13,0.13,0,off_peak,1,moderate,1.1,1,1.1,normal,1,city_center,1.2,1,hazardous,1.2,1.44,0,44,medium,shopping,16-08-2025 19:06
T003,petrol_car,private,34.34,90.4,22.8,206.04,Mumbai,Tuesday,Monsoon,1.2,0.13,0.13,0,peak_evening,1.2,heavy,1.3,1,1.56,normal,1,suburban,1,1,very_poor,1.1,1.1,0,44,medium,business,04-10-2025 19:06
T004,petrol_car,private,21.83,32.2,40.7,130.98,Chennai,Monday,Summer,1.1,0.13,0.13,0,peak_morning,1.2,moderate,1.1,1,1.32,favorable,0.95,hilly,1.3,0.95,very_poor,1.1,1.291,0,21,medium,commute,16-07-2025 19:06
T005,petrol_car,private,27.44,68.7,23.9,164.64,Ahmedabad,Friday,Monsoon,1.2,0.13,0.13,0,off_peak,1,light,1,1,1,light_rain,1.1,highway,0.9,1.1,very_poor,1.1,1.198,0,18,low,leisure,01-10-2025 19:06
T006,diesel_car,private,46.39,101.7,27.4,231.95,Bangalore,Wednesday,Winter,0.95,0.13,0.117,0.013,off_peak,1,light,1,1,1,normal,1,suburban,1,1,hazardous,1.2,1.2,0.7237,18,medium,shopping,28-05-2025 19:06
T007,diesel_car,private,38.28,41.1,55.8,191.4,Pune,Thursday,Monsoon,1.2,0.13,0.117,0.013,off_peak,1,moderate,1.1,1,1.1,normal,1,highway,0.9,1.1,very_poor,1.1,1.089,0.5961,36,medium,shopping,07-09-2025 19:06
T008,diesel_car,private,12.21,13.3,55.2,61.05,Bangalore,Tuesday,Winter,0.95,0.13,0.117,0.013,peak_morning,1.2,heavy,1.3,0.9,1.404,favorable,0.95,city_center,1.2,0.95,moderate,1,1.083,0.2414,31,high,commute,30-05-2025 19:06
T009,diesel_car,private,12.17,19,38.3,60.85,Mumbai,Wednesday,Winter,0.95,0.13,0.117,0.013,peak_evening,1.2,light,1,0.9,1.08,heavy_rain,1.2,suburban,1,1,moderate,1,1.2,0.205,30,high,commute,15-08-2025 19:06
T010,diesel_car,private,13.1,18,43.5,65.5,Hyderabad,Monday,Summer,1.1,0.13,0.117,0.013,off_peak,1,moderate,1.1,0.5,0.55,favorable,0.95,hilly,1.3,1,very_poor,1.1,1.358,0.1272,25,low,leisure,29-04-2025 19:06
T011,diesel_car,private,28.09,44.5,37.9,140.45,Ahmedabad,Monday,Monsoon,1.2,0.13,0.117,0.013,off_peak,1,heavy,1.3,0.9,1.17,light_rain,1.1,city_center,1.2,0.95,moderate,1,1.254,0.5358,49,medium,leisure,25-04-2025 19:06
T012,diesel_car,private,1.81,5.4,20.1,9.05,Pune,Thursday,Monsoon,1.2,0.13,0.117,0.013,off_peak,1,heavy,1.3,1,1.3,light_rain,1.1,highway,0.9,0.95,moderate,1,0.94,0.0288,30,low,leisure,29-09-2025 19:06
T013,diesel_car,private,33.34,36.1,55.4,166.7,Ahmedabad,Wednesday,Post-Monsoon,1,0.13,0.117,0.013,off_peak,1,moderate,1.1,0.7,0.77,light_rain,1.1,highway,0.9,0.95,hazardous,1.2,1.129,0.3768,18,medium,shopping,12-06-2025 19:06
T014,electric_car,private,5.62,7.9,42.7,28.1,Ahmedabad,Sunday,Winter,0.95,0.13,0.085,0.045,peak_morning,1.2,light,1,0.9,1.08,heavy_rain,1.2,highway,0.9,1.1,hazardous,1.2,1.426,0.3895,49,medium,commute,30-07-2025 19:06
T015,electric_car,private,12.2,23.8,30.7,61,Hyderabad,Saturday,Summer,1.1,0.13,0.085,0.045,peak_evening,1.2,moderate,1.1,0.9,1.188,favorable,0.95,highway,0.9,1.1,moderate,1,0.94,0.6131,18,medium,business,15-09-2025 19:06
T016,electric_car,private,23.61,26.6,53.2,118.05,Kolkata,Friday,Monsoon,1.2,0.13,0.085,0.045,off_peak,1,moderate,1.1,1,1.1,normal,1,city_center,1.2,1,very_poor,1.1,1.32,1.5427,25,medium,business,30-08-2025 19:06
T017,electric_car,private,41.92,58.7,42.8,209.6,Ahmedabad,Monday,Winter,0.95,0.13,0.085,0.045,peak_evening,1.2,light,1,1,1.2,favorable,0.95,suburban,1,0.95,very_poor,1.1,0.993,2.2478,23,high,business,14-04-2025 19:06
T018,electric_car,private,44.57,56.4,47.4,222.85,Mumbai,Thursday,Winter,0.95,0.13,0.085,0.045,peak_morning,1.2,moderate,1.1,0.7,0.924,normal,1,suburban,1,1,moderate,1,1,1.8532,28,medium,business,24-05-2025 19:06
T019,electric_car,private,23.57,38.5,36.7,117.85,Kolkata,Friday,Post-Monsoon,1,0.13,0.085,0.045,off_peak,1,moderate,1.1,1,1.1,normal,1,suburban,1,1,good,0.95,0.95,1.1084,36,medium,leisure,18-08-2025 19:06
T020,electric_car,private,3.61,6,36.3,18.05,Pune,Thursday,Winter,0.95,0.13,0.085,0.045,off_peak,1,moderate,1.1,1,1.1,normal,1,hilly,1.3,1,moderate,1,1.3,0.2323,24,medium,leisure,15-05-2025 19:06
T021,electric_car,private,43.96,105.5,25,219.8,Hyderabad,Monday,Winter,0.95,0.13,0.085,0.045,off_peak,1,moderate,1.1,1,1.1,light_rain,1.1,suburban,1,1.1,very_poor,1.1,1.331,2.8963,25,medium,leisure,11-06-2025 19:06
T022,electric_car,private,29.45,94.6,18.7,147.25,Pune,Monday,Post-Monsoon,1,0.13,0.085,0.045,off_peak,1,moderate,1.1,0.9,0.99,normal,1,city_center,1.2,1.1,hazardous,1.2,1.584,2.0782,54,medium,leisure,15-05-2025 19:06
T023,electric_car,private,6.21,7.6,49.3,31.05,Kolkata,Thursday,Monsoon,1.2,0.13,0.085,0.045,peak_evening,1.2,moderate,1.1,0.9,1.188,normal,1,city_center,1.2,1,very_poor,1.1,1.32,0.4382,33,high,commute,18-07-2025 19:06
T024,electric_car,private,29.62,58.4,30.4,148.1,Mumbai,Thursday,Winter,0.95,0.13,0.085,0.045,peak_morning,1.2,moderate,1.1,0.9,1.188,normal,1,suburban,1,1,very_poor,1.1,1.1,1.7418,29,high,business,07-09-2025 19:06
T025,electric_car,private,4.98,6,50.1,24.9,Chennai,Wednesday,Post-Monsoon,1,0.13,0.085,0.045,peak_morning,1.2,heavy,1.3,1,1.56,normal,1,hilly,1.3,0.95,hazardous,1.2,1.482,0.5181,27,high,commute,25-04-2025 19:06
T026,electric_car,private,9.63,18,32.2,48.15,Kolkata,Friday,Winter,0.95,0.13,0.085,0.045,off_peak,1,light,1,0.7,0.7,normal,1,suburban,1,1,very_poor,1.1,1.1,0.3337,30,high,business,06-09-2025 19:06
T027,electric_car,private,40.81,64.5,37.9,204.05,Pune,Monday,Winter,0.95,0.13,0.085,0.045,off_peak,1,light,1,1,1,favorable,0.95,city_center,1.2,0.95,very_poor,1.1,1.191,2.1872,31,high,business,19-05-2025 19:06
T028,electric_car,private,16.13,19.2,50.5,80.65,Bangalore,Thursday,Post-Monsoon,1,0.13,0.085,0.045,off_peak,1,moderate,1.1,0.9,0.99,normal,1,suburban,1,1.1,hazardous,1.2,1.32,0.9485,27,high,leisure,27-09-2025 19:06
T029,electric_car,private,34.74,46.2,45.1,173.7,Hyderabad,Thursday,Summer,1.1,0.13,0.085,0.045,off_peak,1,heavy,1.3,0.7,0.91,normal,1,hilly,1.3,1,hazardous,1.2,1.56,2.2193,48,high,business,20-06-2025 19:06
T030,electric_car,private,26.01,38.1,41,130.05,Mumbai,Thursday,Winter,0.95,0.13,0.085,0.045,peak_evening,1.2,light,1,0.9,1.08,normal,1,hilly,1.3,1.1,hazardous,1.2,1.716,2.1692,29,medium,commute,15-06-2025 19:06
T031,electric_car,private,5.56,14.1,23.7,27.8,Pune,Wednesday,Monsoon,1.2,0.13,0.085,0.045,off_peak,1,moderate,1.1,1,1.1,favorable,0.95,suburban,1,1.1,moderate,1,1.045,0.2876,45,medium,leisure,10-06-2025 19:06
T032,electric_car,private,18.52,36.4,30.5,92.6,Chennai,Thursday,Winter,0.95,0.13,0.085,0.045,off_peak,1,light,1,1,1,heavy_rain,1.2,suburban,1,1,very_poor,1.1,1.32,1.1001,22,medium,shopping,26-08-2025 19:06
T033,electric_car,private,13.18,15.8,50.1,65.9,Bangalore,Monday,Winter,0.95,0.13,0.085,0.045,peak_evening,1.2,heavy,1.3,1,1.56,normal,1,city_center,1.2,1.1,moderate,1,1.32,1.2213,55,high,commute,03-09-2025 19:06
T034,hybrid_car,private,35.44,104.5,20.4,177.2,Kolkata,Monday,Post-Monsoon,1,0.13,0.095,0.035,peak_evening,1.2,light,1,0.7,0.84,normal,1,city_center,1.2,1,very_poor,1.1,1.32,1.3754,18,medium,commute,03-07-2025 19:06
T035,hybrid_car,private,34.25,45.4,45.3,171.25,Delhi,Tuesday,Winter,0.95,0.13,0.095,0.035,late_night,0.8,moderate,1.1,1,0.88,normal,1,suburban,1,1,very_poor,1.1,1.1,1.1604,24,medium,business,05-05-2025 19:06
T036,hybrid_car,private,23.42,44.2,31.8,117.1,Kolkata,Thursday,Monsoon,1.2,0.13,0.095,0.035,peak_evening,1.2,light,1,1,1.2,favorable,0.95,city_center,1.2,1,good,0.95,1.083,1.0653,23,high,commute,10-04-2025 19:06
T037,hybrid_car,private,40.84,68.2,35.9,204.2,Mumbai,Saturday,Winter,0.95,0.13,0.095,0.035,off_peak,1,light,1,1,1,normal,1,highway,0.9,1,moderate,1,0.9,1.2865,18,high,leisure,14-05-2025 19:06
T038,hybrid_car,private,23.16,69.1,20.1,115.8,Pune,Wednesday,Monsoon,1.2,0.13,0.095,0.035,peak_evening,1.2,moderate,1.1,0.9,1.188,normal,1,suburban,1,1,very_poor,1.1,1.1,1.0593,58,medium,commute,27-05-2025 19:06
T039,hybrid_car,private,9.82,29.7,19.8,49.1,Mumbai,Tuesday,Post-Monsoon,1,0.13,0.095,0.035,peak_evening,1.2,light,1,1,1.2,normal,1,highway,0.9,1.1,very_poor,1.1,1.089,0.4491,28,medium,commute,12-04-2025 19:06
T040,hybrid_car,private,23.65,30,47.2,118.25,Mumbai,Thursday,Post-Monsoon,1,0.13,0.095,0.035,off_peak,1,heavy,1.3,0.7,0.91,normal,1,suburban,1,0.95,hazardous,1.2,1.14,0.8587,25,medium,leisure,20-08-2025 19:06
T041,hybrid_car,private,17.93,55.8,19.3,89.65,Delhi,Tuesday,Summer,1.1,0.13,0.095,0.035,peak_evening,1.2,moderate,1.1,1,1.32,normal,1,city_center,1.2,1,moderate,1,1.2,0.994,41,high,commute,09-06-2025 19:06
T042,hybrid_car,private,18.22,31.3,34.9,91.1,Pune,Thursday,Monsoon,1.2,0.13,0.095,0.035,peak_morning,1.2,moderate,1.1,0.7,0.924,normal,1,city_center,1.2,1,hazardous,1.2,1.44,0.8485,38,high,commute,17-06-2025 19:06
T043,hybrid_car,private,34.05,96.8,21.1,170.25,Pune,Wednesday,Post-Monsoon,1,0.13,0.095,0.035,peak_evening,1.2,heavy,1.3,0.9,1.404,normal,1,city_center,1.2,1,moderate,1,1.2,2.0079,35,medium,commute,05-08-2025 19:06
T044,hybrid_car,private,36.65,144.6,15.2,183.25,Hyderabad,Tuesday,Winter,0.95,0.13,0.095,0.035,peak_morning,1.2,light,1,0.5,0.6,heavy_rain,1.2,hilly,1.3,0.95,moderate,1,1.482,1.1406,36,high,business,10-04-2025 19:06
T045,hybrid_car,private,37.3,49,45.7,186.5,Hyderabad,Thursday,Winter,0.95,0.13,0.095,0.035,off_peak,1,moderate,1.1,0.5,0.55,favorable,0.95,highway,0.9,1,very_poor,1.1,0.94,0.6749,42,high,shopping,28-06-2025 19:06
T046,hybrid_car,private,15.79,62.7,15.1,78.95,Mumbai,Thursday,Summer,1.1,0.13,0.095,0.035,off_peak,1,moderate,1.1,1,1.1,normal,1,highway,0.9,1,moderate,1,0.9,0.5471,25,medium,leisure,26-04-2025 19:06
T047,hybrid_car,private,17,49.5,20.6,85,Mumbai,Friday,Monsoon,1.2,0.13,0.095,0.035,late_night,0.8,light,1,0.5,0.4,light_rain,1.1,suburban,1,1.1,moderate,1,1.21,0.288,36,high,business,01-09-2025 19:06
T048,hybrid_car,private,9.06,16.2,33.5,45.3,Hyderabad,Wednesday,Summer,1.1,0.13,0.095,0.035,off_peak,1,moderate,1.1,1,1.1,normal,1,highway,0.9,0.95,good,0.95,0.812,0.2832,33,high,leisure,06-05-2025 19:06
T049,motorcycle,private,10.98,22.1,29.8,54.9,Hyderabad,Friday,Monsoon,1.2,0.08,0.029,0.051,peak_evening,1.2,moderate,1.1,0.9,1.188,light_rain,1.1,hilly,1.3,1,moderate,1,1.43,0.9513,45,low,business,29-08-2025 19:06
T050,motorcycle,private,22.7,54.1,25.2,113.5,Kolkata,Monday,Summer,1.1,0.08,0.029,0.051,off_peak,1,moderate,1.1,0.9,0.99,light_rain,1.1,hilly,1.3,1,moderate,1,1.43,1.639,48,low,shopping,02-05-2025 19:06
T051,motorcycle,private,16.43,51.6,19.1,82.15,Pune,Wednesday,Post-Monsoon,1,0.08,0.029,0.051,peak_evening,1.2,moderate,1.1,0.9,1.188,heavy_rain,1.2,suburban,1,1,moderate,1,1.2,1.1946,49,high,commute,19-05-2025 19:06
T052,motorcycle,private,27.4,45.6,36.1,137,Mumbai,Thursday,Monsoon,1.2,0.08,0.029,0.051,peak_morning,1.2,heavy,1.3,1,1.56,normal,1,city_center,1.2,0.95,moderate,1,1.14,2.4851,39,medium,commute,16-08-2025 19:06
T053,motorcycle,private,22.23,57,23.4,111.15,Chennai,Friday,Monsoon,1.2,0.08,0.029,0.051,late_night,0.8,light,1,0.7,0.56,light_rain,1.1,highway,0.9,1.1,good,0.95,1.035,0.6571,65,medium,leisure,01-09-2025 19:06
T054,motorcycle,private,12.25,43.1,17.1,61.25,Pune,Monday,Winter,0.95,0.08,0.029,0.051,off_peak,1,light,1,0.9,0.9,normal,1,city_center,1.2,1,moderate,1,1.2,0.6747,41,medium,leisure,28-04-2025 19:06
T055,motorcycle,private,11.19,19.9,33.8,55.95,Kolkata,Wednesday,Summer,1.1,0.08,0.029,0.051,off_peak,1,moderate,1.1,0.5,0.55,normal,1,hilly,1.3,1.1,very_poor,1.1,1.573,0.4937,25,high,shopping,05-08-2025 19:06
T056,motorcycle,private,6.55,15.1,26,32.75,Hyderabad,Friday,Winter,0.95,0.08,0.029,0.051,peak_morning,1.2,heavy,1.3,0.7,1.092,normal,1,highway,0.9,1,hazardous,1.2,1.08,0.394,33,medium,commute,28-09-2025 19:06
T057,motorcycle,private,25.92,80.8,19.2,129.6,Bangalore,Wednesday,Monsoon,1.2,0.08,0.029,0.051,late_night,0.8,moderate,1.1,1,0.88,normal,1,city_center,1.2,1.1,very_poor,1.1,1.452,1.6891,46,low,leisure,31-07-2025 19:06
T058,motorcycle,private,26.68,61,26.3,133.4,Pune,Friday,Winter,0.95,0.08,0.029,0.051,off_peak,1,moderate,1.1,0.7,0.77,favorable,0.95,suburban,1,0.95,moderate,1,0.902,0.945,50,high,leisure,29-09-2025 19:06
T059,motorcycle,private,22.21,30.8,43.2,111.05,Kolkata,Wednesday,Monsoon,1.2,0.08,0.029,0.051,off_peak,1,heavy,1.3,0.5,0.65,normal,1,suburban,1,1,moderate,1,1,0.7363,47,medium,leisure,14-08-2025 19:06
T060,motorcycle,private,9.19,26.6,20.7,45.95,Ahmedabad,Thursday,Summer,1.1,0.08,0.029,0.051,late_night,0.8,moderate,1.1,0.7,0.616,favorable,0.95,hilly,1.3,1,very_poor,1.1,1.358,0.3921,28,medium,leisure,14-09-2025 19:06
T061,motorcycle,private,25.13,34.9,43.2,125.65,Pune,Monday,Winter,0.95,0.08,0.029,0.051,late_night,0.8,moderate,1.1,0.5,0.44,light_rain,1.1,city_center,1.2,1.1,hazardous,1.2,1.742,0.9823,18,medium,shopping,09-09-2025 19:06
T062,motorcycle,private,27.05,136.6,11.9,135.25,Chennai,Sunday,Winter,0.95,0.08,0.029,0.051,off_peak,1,moderate,1.1,0.5,0.55,normal,1,highway,0.9,1,very_poor,1.1,0.99,0.7512,41,medium,shopping,31-08-2025 19:06
T063,motorcycle,private,23.24,67,20.8,116.2,Pune,Tuesday,Monsoon,1.2,0.08,0.029,0.051,peak_morning,1.2,light,1,0.9,1.08,favorable,0.95,city_center,1.2,0.95,moderate,1,1.083,1.3863,41,low,commute,17-07-2025 19:06
T064,motorcycle,private,15.14,45.7,19.9,75.7,Bangalore,Monday,Winter,0.95,0.08,0.029,0.051,off_peak,1,moderate,1.1,0.7,0.77,light_rain,1.1,suburban,1,1,hazardous,1.2,1.32,0.7848,33,medium,leisure,10-04-2025 19:06
T065,motorcycle,private,8.53,12.1,42.3,42.65,Pune,Friday,Monsoon,1.2,0.08,0.029,0.051,off_peak,1,moderate,1.1,0.5,0.55,favorable,0.95,hilly,1.3,1,hazardous,1.2,1.482,0.3546,37,high,shopping,11-09-2025 19:06
T066,motorcycle,private,27.15,72.4,22.5,135.75,Pune,Thursday,Summer,1.1,0.08,0.029,0.051,off_peak,1,moderate,1.1,0.9,0.99,normal,1,hilly,1.3,0.95,hazardous,1.2,1.482,2.0315,18,medium,leisure,13-04-2025 19:06
T067,motorcycle,private,3.9,5.2,45.4,19.5,Bangalore,Tuesday,Monsoon,1.2,0.08,0.029,0.051,peak_evening,1.2,moderate,1.1,0.9,1.188,heavy_rain,1.2,suburban,1,1,very_poor,1.1,1.32,0.3119,19,medium,commute,20-06-2025 19:06
T068,motorcycle,private,17.39,21,49.6,86.95,Bangalore,Friday,Monsoon,1.2,0.08,0.029,0.051,off_peak,1,moderate,1.1,0.9,0.99,normal,1,highway,0.9,0.95,moderate,1,0.855,0.7507,51,medium,leisure,29-04-2025 19:06
T069,motorcycle,private,28.01,54.4,30.9,140.05,Mumbai,Tuesday,Winter,0.95,0.08,0.029,0.051,peak_morning,1.2,heavy,1.3,0.9,1.404,heavy_rain,1.2,hilly,1.3,1,hazardous,1.2,1.872,3.7545,26,low,commute,17-05-2025 19:06
T070,motorcycle,private,9.26,11.5,48.3,46.3,Kolkata,Friday,Winter,0.95,0.08,0.029,0.051,off_peak,1,moderate,1.1,1,1.1,light_rain,1.1,highway,0.9,1.1,good,0.95,1.035,0.5377,18,medium,leisure,28-08-2025 19:06
T071,motorcycle,private,26.43,92.9,17.1,132.15,Delhi,Monday,Post-Monsoon,1,0.08,0.029,0.051,late_night,0.8,moderate,1.1,1,0.88,light_rain,1.1,highway,0.9,0.95,good,0.95,0.893,1.0593,49,medium,leisure,08-06-2025 19:06
T072,motorcycle,private,10.83,40.2,16.2,54.15,Ahmedabad,Wednesday,Monsoon,1.2,0.08,0.029,0.051,peak_morning,1.2,light,1,1,1.2,favorable,0.95,suburban,1,1,good,0.95,0.902,0.5978,54,medium,commute,03-06-2025 19:06
T073,motorcycle,private,16.34,37.2,26.3,81.7,Pune,Monday,Monsoon,1.2,0.08,0.029,0.051,off_peak,1,moderate,1.1,1,1.1,favorable,0.95,hilly,1.3,0.95,very_poor,1.1,1.291,1.1834,41,medium,leisure,13-04-2025 19:06
T074,electric_scooter,private,12.65,54.6,13.9,37.95,Delhi,Thursday,Post-Monsoon,1,0.08,0.02,0.06,peak_morning,1.2,heavy,1.3,0.9,1.404,heavy_rain,1.2,highway,0.9,1,good,0.95,1.026,1.0933,48,medium,business,03-09-2025 19:06
T075,electric_scooter,private,22.03,57.5,23,66.09,Delhi,Wednesday,Post-Monsoon,1,0.08,0.02,0.06,off_peak,1,moderate,1.1,0.7,0.77,favorable,0.95,suburban,1,1,moderate,1,0.95,0.9669,47,medium,leisure,19-04-2025 19:06
T076,electric_scooter,private,3.66,8.9,24.7,10.98,Mumbai,Monday,Summer,1.1,0.08,0.02,0.06,peak_evening,1.2,moderate,1.1,0.9,1.188,favorable,0.95,city_center,1.2,1.1,moderate,1,1.254,0.3271,53,low,commute,10-07-2025 19:06
T077,electric_scooter,private,20.56,51.2,24.1,61.68,Ahmedabad,Thursday,Winter,0.95,0.08,0.02,0.06,peak_morning,1.2,heavy,1.3,1,1.56,normal,1,hilly,1.3,1.1,moderate,1,1.43,2.7519,44,low,commute,21-05-2025 19:06
T078,electric_scooter,private,12.1,79.6,9.1,36.3,Mumbai,Tuesday,Summer,1.1,0.08,0.02,0.06,peak_morning,1.2,heavy,1.3,0.9,1.404,favorable,0.95,suburban,1,1,moderate,1,0.95,0.9683,43,medium,commute,10-04-2025 19:06
T079,electric_scooter,private,6.69,33.7,11.9,20.07,Bangalore,Tuesday,Post-Monsoon,1,0.08,0.02,0.06,peak_morning,1.2,heavy,1.3,0.7,1.092,favorable,0.95,highway,0.9,1,hazardous,1.2,1.026,0.4497,28,high,commute,06-07-2025 19:06
T080,electric_scooter,private,18.42,96.9,11.4,55.26,Mumbai,Thursday,Summer,1.1,0.08,0.02,0.06,late_night,0.8,light,1,1,0.8,normal,1,suburban,1,1,very_poor,1.1,1.1,0.9726,45,medium,shopping,21-09-2025 19:06
T081,electric_scooter,private,12.05,45.6,15.9,36.15,Hyderabad,Monday,Winter,0.95,0.08,0.02,0.06,off_peak,1,heavy,1.3,0.9,1.17,heavy_rain,1.2,city_center,1.2,1,very_poor,1.1,1.584,1.3399,41,high,leisure,14-07-2025 19:06
T082,electric_scooter,private,11.04,71.8,9.2,33.12,Ahmedabad,Wednesday,Post-Monsoon,1,0.08,0.02,0.06,peak_morning,1.2,moderate,1.1,0.7,0.924,normal,1,hilly,1.3,1,very_poor,1.1,1.43,0.8752,31,medium,commute,23-04-2025 19:06
T083,electric_scooter,private,7.65,56.2,8.2,22.95,Chennai,Monday,Monsoon,1.2,0.08,0.02,0.06,off_peak,1,light,1,1,1,heavy_rain,1.2,suburban,1,1,very_poor,1.1,1.32,0.6059,63,medium,shopping,01-05-2025 19:06
T084,electric_scooter,private,1.31,4.2,18.8,3.93,Bangalore,Friday,Monsoon,1.2,0.08,0.02,0.06,peak_morning,1.2,moderate,1.1,0.7,0.924,normal,1,hilly,1.3,1,moderate,1,1.3,0.0944,34,low,commute,25-07-2025 19:06
